Source,Target,cash,material,help
BDSU065,BDSU059,0,1,0
BDSU065,BDSU066,0,1,0
BDSU065,BDSU066,0,1,0
BDSU065,BDSU068,0,1,0
BDSU065,BDSU068,0,1,0
BDSU065,BDSU077,0,1,0
BDSU065,BDSU077,0,1,0
BDSU066,BDSU063,0,1,0
BDSU066,BDSU065,0,1,0
BDSU066,BDSU065,0,1,0
BDSU066,BDSU068,0,1,0
BDSU066,BDSU077,0,1,0
BDSU067,BDSU054,0,1,0
BDSU067,BDSU062,0,1,0
BDSU067,BDSU076,0,1,0
BDSU067,BDSU079,0,1,0
BDSU067,BDSU079,0,1,0
BDSU068,BDSU063,0,1,0
BDSU068,BDSU069,0,1,0
BDSU068,BDSU072,0,1,0
BDSU069,BDSU060,0,1,0
BDSU069,BDSU066,0,1,0
BDSU069,BDSU068,0,1,0
BDSU069,BDSU068,0,1,0
BDSU069,BDSU070,0,1,0
BDSU069,BDSU072,0,1,0
BDSU070,BDSU027,0,1,0
BDSU070,BDSU069,0,1,0
BDSU071,BDSU060,0,1,0
BDSU071,BDSU072,0,1,0
BDSU071,BDSU079,0,1,0
BDSU072,BDSU020,0,1,0
BDSU072,BDSU020,0,1,0
BDSU073,BDSU030,0,1,0
BDSU073,BDSU030,0,1,0
BDSU073,BDSU033,0,1,0
BDSU073,BDSU033,0,1,0
BDSU073,BDSU033,0,1,0
BDSU073,BDSU045,0,1,0
BDSU074,BDSU075,0,1,0
BDSU074,BDSU075,0,1,0
BDSU075,BDSU014,0,1,0
BDSU075,BDSU074,0,1,0
BDSU075,BDSU074,0,1,0
BDSU075,BDSU074,0,1,0
BDSU076,BDSU057,0,1,0
BDSU076,BDSU061,0,1,0
BDSU077,BDSU063,0,1,0
BDSU077,BDSU065,0,1,0
BDSU077,BDSU065,0,1,0
BDSU077,BDSU066,0,1,0
BDSU077,BDSU066,0,1,0
BDSU077,BDSU068,0,1,0
BDSU077,BDSU068,0,1,0
BDSU078,BDSU046,0,1,0
BDSU078,BDSU060,0,1,0
BDSU079,BDSU054,0,1,0
BDSU079,BDSU062,0,1,0
BDSU079,BDSU067,0,1,0
BDSU079,BDSU067,0,1,0
BDSU079,BDSU071,0,1,0
BDSU001,BDSU001,0,0,1
BDSU001,BDSU001,0,0,1
BDSU001,BDSU001,0,0,1
BDSU011,BDSU001,0,0,1
BDSU049,BDSU001,0,0,1
BDSU001,BDSU002,0,0,1
BDSU001,BDSU002,0,0,1
BDSU002,BDSU002,0,0,1
BDSU002,BDSU002,0,0,1
BDSU002,BDSU002,0,0,1
BDSU002,BDSU002,0,0,1
BDSU011,BDSU002,0,0,1
BDSU065,BDSU002,0,0,1
BDSU051,BDSU003,0,0,1
BDSU036,BDSU004,0,0,1
BDSU005,BDSU005,0,0,1
BDSU005,BDSU005,0,0,1
BDSU005,BDSU005,0,0,1
BDSU005,BDSU005,0,0,1
BDSU006,BDSU006,0,0,1
BDSU059,BDSU006,0,0,1
BDSU050,BDSU007,0,0,1
BDSU005,BDSU008,0,0,1
BDSU009,BDSU008,0,0,1
BDSU009,BDSU008,0,0,1
BDSU067,BDSU008,0,0,1
BDSU005,BDSU009,0,0,1
